person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Rachel Hendricks,,1996-97,1996-97,1,1996-97,Freshman Council representative,Freshman Council representative (1996-97),OCR also renders 'Rachael Hendricks' / 'Rachael Hendrick'.,"SGA Meeting Minutes, 4 Feb 1997"
Rachel Keightley,,2015-16,2015-16,1,2015-16,Director of Information Technology,Director of Information Technology (2015-16),"Rachel Keightley was named SGA's director of information technology in the cabinet minutes of 1 September 2015. At the senate's first meeting that same day she told senators she had ""spent the summer updating and improving the web site."" The archive has found no further record of her SGA service beyond that year.","SGA Executive Cabinet minutes, 1 Sep 2015"
Rachel Wilcox,,2009-10,2009-10,1,2009-10,Student Senator,Student Senator (2009-10),"Confirmed by the Senate and sworn in as a senator, recorded under an internal ""10/10/2009"" heading inside the 10 November 2009 minutes.","SGA Senate minutes, 10 Nov 2009"
Randall McGraw,,1996-97,1996-97,1,1996-97,"attended and voted, per roll call","attended and voted, per roll call (1996-97)",See the note on Amy France above for the seat ambiguity.,"SGA Meeting Minutes, 21 Jan 1997"
Randi Jensen,,1967-68,1967-68,1,1967-68,Women's Residence Halls Rept.,Women's Residence Halls Rept. (1967-68),"Jensen represented the women's residence halls on the Associated Student Government for 1967-68. That November the Herald printed a piece of hers under the headline ""Berates Souvenir Seekers"". The surviving index entry preserves nothing of it beyond her byline and that headline.",UA3/3/1 Associated Student Government Officers 1967-68
Randy Elassal,,1991-92,1991-92,1,1991-92,Congress member (seat not specified in minutes),Congress member (seat not specified in minutes) (1991-92),On the absence roll 3 Mar 1992 and the combined 7/9 Apr 1992 meeting.,"ASG Minutes, 3 Mar 1992"
Randy Kimmel,,1983-84,1983-84,1,1983-84,Congress member; ad-hoc research committee,Congress member; ad-hoc research committee (1983-84),"Named to an ad-hoc research committee with Allan Kujala, Sandy Hill and Jon Holland at the 6 September 1983 meeting, on a motion made, seconded and passed with no discussion.","ASG Meeting Minutes, 6 September 1983"
Ray Ezell,,1992-93,1992-93,1,1992-93,Senator,Senator (1992-93),"He sat in SGA Congress through the autumn of 1992 under president Joe Rains, and the attendance roll records him absent only twice, on 22 September and 20 October 1992. In the second week of that semester the Herald printed a piece by him arguing the university should say residence hall rather than dorm, in the issue of 27 August 1992.","SGA Minutes, 20 Sept 1992"
Reagan Gilley,R. Reagan Gilley,2006-07,2008-09,3,2006-07; 2007-08; 2008-09,regent,regent (2008-09); Administrative Vice President (2008-09); Senator (2006-07); Director of Academic and Student Affairs (2007-08),"One of eighteen sworn in to the Student Senate 3 October 2006, printed ""Reagan Gilley"". Also recorded later as an executive officer for 2007-08 and 2008-09. Reagan Gilley was director of academic and student affairs for 2007-08. He authored Resolution 07-07-S, which named SGA's study abroad scholarship, passed at the year's first senate meeting on 4 September 2007, and that year he also worked toward opening the university library for 24-hour hours and on the study abroad and film scholarships. In the spring 2008 campaign he ran for administrative vice president against Skylar Johnson, and co-wrote a 27 March Herald op-ed with presidential candidate Theodore Harden and executive vice-presidential candidate Kevin Smiley arguing that student representation needed a change. Harden was running against Johnathon Boles, so the three op-ed signatories stood as a slate opposed to Boles; the same issue carried a report on a Red Towel Party seeking to energize SGA, and in April a complaint was filed against that party, but the surviving index does not state which candidates belonged to it. Gilley won his race and served as administrative vice president for 2008-09. Reagan Gilley was a Pineville senior and the Student Government Association's administrative vice president when he won the special election for student regent held 25-26 February 2009, filling the seat left empty for 26 days after President Johnathon Boles resigned on 30 January for health reasons. He beat Fairdale senior Nate Eaton, the speaker of the senate, 477 votes to 224 of the 701 cast, and Chief Justice Corey Bewley announced the verified result at 12:17 a.m. Thursday in the SGA office. Gilley had campaigned on short notice through a Facebook group, announcements in classes and a YouTube video built around the Rick Astley song ""Never Gonna Give You Up,"" and after the count he handed Eaton a plaque he had bought at Kroger that day. He said he planned to contact Boles the next day to catch up on Board of Regents business and then to contact Faculty Regent Patricia Minter, and that he wished more students had voted. ""I am very relieved but excited for things to come,"" he said. Gilley took the constitutional oath of office from Board Chair Lois Gray at the second quarterly meeting on 24 April 2009, where President Gary Ransdell presented him with the regent's pin, and he answered the roll call as student regent. He seconded Larry Zielke's motion to approve the naming of designated facilities and rooms, and seconded Yevette Haskins's motion to accept the 2008-09 second quarter statement of revenues and expenditures for filing. On the 2009-10 tuition and fees schedule, which carried a 4 percent increase, Gilley asked to amend the motion to strike the proposed per credit hour fee on course loads above 15 hours; the amended motion was seconded by Zielke and carried unanimously. He then moved to add a drop/add fee of $50 per transaction to the schedule, which Zielke seconded and which also carried unanimously, and afterwards told the Board that tuition increases were a major concern of the student body and that ""for the record, I meant to vote in opposition to the tuition increase."" During a long exchange over personnel actions and campus morale, in which the faculty and staff regents described resignations and low morale, Gilley said that on behalf of the student body there was concern about fewer staff being available for classes. The minutes list the Board's next meetings as a special budget meeting on 19 June 2009 and the third quarterly meeting on 31 July 2009. His time on the Board was over by the summer. The minutes of the special budget meeting of 19 June 2009 record the constitutional oath of office being administered to Kevin Smiley as student regent, again by Chair Lois Gray and with the regent's pin presented by President Ransdell, and the roll call for that meeting lists Smiley rather than Gilley. Gilley's name does not appear in those minutes at all, so the quarterly meeting of 24 April 2009 was the only Board meeting that fell within his tenure, and the record of his service as student regent runs to that single day of votes. Gilley's name does not appear in those minutes, so the handover had happened by 19 June 2009, earlier than the 31 July roll call previously recorded here. Reagan Gilley served as administrative vice president for 2008-09, alongside Executive Vice President Kayla Shelton, though the two had run in the spring on opposing slates. He presented the year's budget to the senate line by line at its first meeting, 26 August 2008 - $8,000 for two student workers, $9,050 for executive stipends, $1,000 for travel and $5,000 for senate programming - and told senators the budget was now in their hands. He represented SGA that year on the Budget Council, Faculty Welfare and the University Calendar Committee. When President Johnathon Boles resigned in January 2009, Gilley won the special election for the vacant student regent seat that February; his time on the Board of Regents is recorded in his separate regent profile for 2008-09.","Herald 84:35, 26 Feb 2009 - Gilley elected student regent; SGA Minutes, 3 October 2006; SGA Senate minutes, 26 Aug 2008, TopSCHOLAR; SGA Senate minutes, 4 Sep 2007, TopSCHOLAR"
Rebecca Flynn,,1992-93,1992-93,1,1992-93,Senator,Senator (1992-93),On absence rolls from Nov 1992; resigned by 2 Feb 1993.,"SGA Minutes, 17 Nov 1992"
Rebecca Hack,,1987-88,1987-88,1,1987-88,"Chairman, Rules and Elections Committee","Chairman, Rules and Elections Committee (1987-88)","Rebecca Hack was accepted by Congress as chairman of the Rules and Elections Committee on 6 October 1987, while the committee was still running that autumn's freshman elections. ASG's own minutes are not consistent on her name: the 22 September 1987 minutes record a Becky Haaek and those of 6 October a Rebecca Hack, and no other source in the archive resolves which spelling is right. No further record of her term survives here.","ASG minutes, 6 October 1987"
